name;price;description;height;soil;lighting;area;form;decorative;landing
            Туя Occidentalis Aureospicata 20-40;150;Хвойный кустарник с пирамидальной раскидистой кроной высотой 3 м. Хвоя чешуйчатая, тёмно-зелёная, а у молодых приростков золотисто-желтая.  Летом в жаркую погоду кончики хвои  становятся золотистыми.Теневынослива, нетребовательна к плодородию почвы, дымогазоустойчива. Чаще используется для одиночных посадок, аллей и групп.;3м;Неприхотлива;Солнце, полутень, тень;зона 4;Высокий кустарник;0;0
            Туя Occidentalis Aurescens 20-40;150;Форма кроны узкопирамидальная. Скорость роста невысокая 0,15 м в год. К 10 годам дерево достигает высоты 2,5 м, а максимальная высота – 10 м. Хвоя красивая светло-зеленая, блестящая, на концах желтая. В период активного роста побегов желтая окраска листвы превалирует и Thuja occidentalis Aurescens способна оживить любой, даже самый унылый пейзаж. ;3м;Неприхотлива;Солнце, полутень;зона 4;Небольшое дерево;0;0
            Туя Occidentalis Brabant 40-60;500;Высота дерева достигает 20 м при диаметре кроны 4 м. Однако в средней полосе дерево выше 4-5 м встречается крайне редко. Средний ежегодный прирост составляет 40 см в высоту и 15 см в диаметре. Хвоя красивая, зеленого или светло-зеленого цвета, возможны золотистые кончики. Туя Брабант сохраняет свою окраску и в зимний период, что является редким свойством для туй, большинство из которых приобретают желтоватый оттенок.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Columna 100-120;1500;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Columna 20/40;150;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Columna 60-80;1000;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Danica 10/20;150;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Occidentalis Europe Gold 20/40;150;Хвойное вечнозеленое дерево. Форма кроны узкоконическая. Растет медленно 10-15 см в год. Максимальная высота – 4м. Хвоя чешуйчатая светло-зеленая, кончики побегов золотисто-оранжевые. Осенью хвоя принимает медный оттенок.;4м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Туя Occidentalis Globosa 20/30;480;Шаровидный небольшой кустарник. Хвоя чешуйчатая, крупная, светло-зеленая весной, зеленая – летом и коричневатая зимой. Шишки коричневые, продолговатые, 0,8-1см.  Теневынослива, но лучше развивается в полутени, к почве не требовательна, растет как на сухих, так и на влажных почвах, но предпочитает свежие, достаточно увлажненные плодородные суглинки. Хорошо реагирует на подкормки. Морозостойка. Устойчива в городских условиях. ;1м;Неприхотлива;Полутень;зона 4;Небольшой кустарник;0;0
            Туя Occidentalis Globosa 30/40;540;Шаровидный небольшой кустарник. Хвоя чешуйчатая, крупная, светло-зеленая весной, зеленая – летом и коричневатая зимой. Шишки коричневые, продолговатые, 0,8-1см.  Теневынослива, но лучше развивается в полутени, к почве не требовательна, растет как на сухих, так и на влажных почвах, но предпочитает свежие, достаточно увлажненные плодородные суглинки. Хорошо реагирует на подкормки. Морозостойка. Устойчива в городских условиях. ;1м;Неприхотлива;Полутень;зона 4;Небольшой кустарник;0;0
            Туя Occidentalis Globosa Compacta 10-20;150;Шаровидный небольшой кустарник. Хвоя чешуйчатая, зелено-желтая, густая . Шишки коричневые, продолговатые, 0,8-1см.  Теневынослива, но лучше развивается в полутени, к почве не требовательна, растет как на сухих, так и на влажных почвах, но предпочитает свежие, достаточно увлажненные плодородные суглинки. Хорошо реагирует на подкормки. Морозостойка. Устойчива в городских условиях. ;1м;Неприхотлива;Солнце, полутень;зона 4;Небольшой кустарник;0;0
            Туя Occidentalis Golden Globe 40-50;680;Карликовый кустарник, которому найдется место в каждом без исключения саду. Небольшой желтый шарик оживляет ландшафт сада даже в пасмурные осенние дни. Очень декоративный сорт: желтые кончики побегов, которым достается много солнца, полностью покрывают растение, хотя внутри шара листва ярко-зеленая. Осенью хвоя приобретает медный оттенок, но весной снова становится золотистой. Растет медленно 8-10 см в год, максимального диаметра 1-1,2 м достигает лет в 20.;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Туя Occidentalis Golden Tuffet 15-20;600;Одна из самых карликовых, медленно растущих форм туй. Достигает в высоту 0,15-0,3 м, а в ширину 0,24-0,6 м. Крона шаровидная, компактная. Хвоя золотисто-оранжевая, несколько темнеющая к зиме. Высаживать следует на солнце или в легкой полутени. Предпочитает влажные и плодородные почвы. Зимостойкость высокая. Нормально переносит городские условия. Рекомендуется высаживать в рокариях и альпинариях. Хорошо смотрится в декоративных композициях с хвойными и миксбордерах. Хороший сорт для создания низкой изгороди или бордюра.;0,3м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Туя Occidentalis Holmstrup 120-140;2800;Вечнозеленое хвойное растение, крона - пирамидальная. Не требует регулярной специальной обрезки, сохраняет форму. Хвоинки мягкие, уплощенные, чешуйчатые, темно-зеленого цвета. Диаметр кроны взрослого растения составляет около метра. Годовой прирост туи составляет около 10-20 см в высоту.;3м;Суглинистые;Солнце, полутень;зона 4;Небольшое дерево;0;0
            Туя Occidentalis Holmstrup 40-60;500;Вечнозеленое хвойное растение, крона - пирамидальная. Не требует регулярной специальной обрезки, сохраняет форму. Хвоинки мягкие, уплощенные, чешуйчатые, темно-зеленого цвета. Диаметр кроны взрослого растения составляет около метра. Годовой прирост туи составляет около 10-20 см в высоту.;3м;Суглинистые;Солнце, полутень;зона 4;Небольшое дерево;0;0
            Туя Occidentalis Hoseri 15/25;150;Высота у растения - от 70см. до 90см. Диаметр кроны - от 70см. до 90см. Крона имеет шаровидную форму. Цветки однодомные, незаметные, зеленовато-желтые, похожи на маленькие почки. Хвоя чешуйчатая, темно-зеленая, к зиме с бронзовым оттенком. Корневая система - поверхностная и разветвленная, чувствительна к уплотнению почвы. Это дерев предпочитает прохладные, влажные районы, чувствительна к высоким температурам и засухе, зимостойка.;1м;Плодородная;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Occidentalis Malonyana 20/40;150;Островершинная и узкоко-лонновидная форма 10 - 15м высотой. Побеги короткие, ко­ричневые, густо ветвятся, плоские, расположены плотно. Хвоя блестящая, зеленая, отчетливо железистая. Зимостойка.;15м;Плодородная;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Spiralis 15-30;150;Дерево с узкой конической кроной, высотой до 15 м. Быстрорастущее. Побеги винтообразные, повернуты так, что напоминают спираль. Веточки короткие, напоминают листья некоторых папоротников. Хвоя чешуйчатая, темно-зеленая или голубовато-зеленая, зимой слегка бронзовая. Укореняемость летними черенками 95%. Корневая система поверхностная и разветвленная, чувствительна к уплотнению почвы.;15м;Плодородная;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Occidentalis Sunkist 15-25;150;Прекрасный сорт невысокой медленнорастущей туи конической формы. В десятилетнем возрасте высота растения составляет 2м, максимальная высота – 5м. Хвоя ярко-желтая чешуевидная. В период активного роста цвет листвы золотистый, к зиме хвоя становится бронзовой.;3м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Туя Thuja Occidentalis Danica  20-30;480;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Danica  30+;1650;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Danica  40/50;1650;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Holmstrup 100/125;2300;Вечнозеленое хвойное растение, крона - пирамидальная. Не требует регулярной специальной обрезки, сохраняет форму. Хвоинки мягкие, уплощенные, чешуйчатые, темно-зеленого цвета. Диаметр кроны взрослого растения составляет около метра. Годовой прирост туи составляет около 10-20 см в высоту.;3м;Суглинистые;Солнце, полутень;зона 4;Небольшое дерево;0;0
            Туя Thuja Occidentalis Smaragd  100/125;1800;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Smaragd  125/150;2800;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Smaragd  175-200;3700;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Smaragd  80/100;1500;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Smaragd Aurea 100-125;1350;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Barabits Compact 100/125;1800;Описание отсутствует…;?;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Barabits Compact 125/150;2300;Описание отсутствует…;?;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Туя Thuja Occidentalis Kobold 40/50 ;2000;Небольшой многоствольный хвойный кустарник, в молодости форма кроны аккуратная шарообразная, позже вытянутая, яйцеобразная. Хвоя блестящая, насыщенного зеленого цвета. Крона плотная, не просматриваемая. Зимостойка. Теневынослива. Влажные плодородные суглинки и известьсодержащие почвы. ;0,7м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Little Giant 40/50;2000;Декоративный сорт туи с густой подушкообразной кроной. В высоту 0,8 м и до 2 м в диаметре. Медленно растущий вид, ежегодный прирост 10 см. Живет в среднем 200 лет. Хвоя ярко-зеленая, темнеет до буро-зеленой зимой, чешуевидная, плотная. Шишки мелкие коричневые.; 0,8 м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Brabant 100/125;1200;Высота дерева достигает 20 м при диаметре кроны 4 м. Однако в средней полосе дерево выше 4-5 м встречается крайне редко. Средний ежегодный прирост составляет 40 см в высоту и 15 см в диаметре. Хвоя красивая, зеленого или светло-зеленого цвета, возможны золотистые кончики. Туя Брабант сохраняет свою окраску и в зимний период, что является редким свойством для туй, большинство из которых приобретают желтоватый оттенок.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Thuja Occidentalis Brabant 150/175;2500;Высота дерева достигает 20 м при диаметре кроны 4 м. Однако в средней полосе дерево выше 4-5 м встречается крайне редко. Средний ежегодный прирост составляет 40 см в высоту и 15 см в диаметре. Хвоя красивая, зеленого или светло-зеленого цвета, возможны золотистые кончики. Туя Брабант сохраняет свою окраску и в зимний период, что является редким свойством для туй, большинство из которых приобретают желтоватый оттенок.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя Thuja Occidentalis Danica;800;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Globosa1;4200;Шаровидный небольшой кустарник. Хвоя чешуйчатая, крупная, светло-зеленая весной, зеленая – летом и коричневатая зимой. Шишки коричневые, продолговатые, 0,8-1см.  Теневынослива, но лучше развивается в полутени, к почве не требовательна, растет как на сухих, так и на влажных почвах, но предпочитает свежие, достаточно увлажненные плодородные суглинки. Хорошо реагирует на подкормки. Морозостойка. Устойчива в городских условиях. ;1м;Неприхотлива;Полутень;зона 4;Небольшой кустарник;0;0
            Туя Thuja Occidentalis Globosa2;1500;Шаровидный небольшой кустарник. Хвоя чешуйчатая, крупная, светло-зеленая весной, зеленая – летом и коричневатая зимой. Шишки коричневые, продолговатые, 0,8-1см.  Теневынослива, но лучше развивается в полутени, к почве не требовательна, растет как на сухих, так и на влажных почвах, но предпочитает свежие, достаточно увлажненные плодородные суглинки. Хорошо реагирует на подкормки. Морозостойка. Устойчива в городских условиях. ;1м;Неприхотлива;Полутень;зона 4;Небольшой кустарник;0;0
            Туя Thuja Occidentalis Gold Globe ;800;Карликовый кустарник, которому найдется место в каждом без исключения саду. Небольшой желтый шарик оживляет ландшафт сада даже в пасмурные осенние дни. Очень декоративный сорт: желтые кончики побегов, которым достается много солнца, полностью покрывают растение, хотя внутри шара листва ярко-зеленая. Осенью хвоя приобретает медный оттенок, но весной снова становится золотистой. Растет медленно 8-10 см в год, максимального диаметра 1-1,2 м достигает лет в 20.;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Rheingold;5000;Медленнорастущий густой кустарник, достигающий около 130 см высоты. В молодом возрасте форма кроны шаровидная, позже — яйцевидная. Хвоя интенсивно-желтой окраски, зимой коричневая. Ветви тонкие, диморфные, частично игольчатые, частично чешуевидные.;1,3м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя Thuja Occidentalis Spiralis;1200;Дерево с узкой конической кроной, высотой до 15 м. Быстрорастущее. Побеги винтообразные, повернуты так, что напоминают спираль. Веточки короткие, напоминают листья некоторых папоротников. Хвоя чешуйчатая, темно-зеленая или голубовато-зеленая, зимой слегка бронзовая. Укореняемость летними черенками 95%. Корневая система поверхностная и разветвленная, чувствительна к уплотнению почвы.;15м;Плодородная;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Atrovirens,  225-250см;1500;Вечнозелёное колонновидное дерево с очень густо-расположенными и строго вертикальными побегами и ветвями, конусовидная форма сохраняется и в возрасте становится лишь чуть шире. Высотой 15 м. и 3 - 5 м. шириной. Годовой прирост в высоту 30 см., в ширину 10 см. Хвоя зелёная, блестящая, чешуйчатая, расположенная супротивно. Шишки продолговато-яйцевидные, 12 мм. длиной, летом зелёные, зимой коричневые.;15м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Atrovirens,  275-300см;2600;Вечнозелёное колонновидное дерево с очень густо-расположенными и строго вертикальными побегами и ветвями, конусовидная форма сохраняется и в возрасте становится лишь чуть шире. Высотой 15 м. и 3 - 5 м. шириной. Годовой прирост в высоту 30 см., в ширину 10 см. Хвоя зелёная, блестящая, чешуйчатая, расположенная супротивно. Шишки продолговато-яйцевидные, 12 мм. длиной, летом зелёные, зимой коричневые.;15м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Brabant, 150-175см;3900;Высота дерева достигает 20 м при диаметре кроны 4 м. Однако в средней полосе дерево выше 4-5 м встречается крайне редко. Средний ежегодный прирост составляет 40 см в высоту и 15 см в диаметре. Хвоя красивая, зеленого или светло-зеленого цвета, возможны золотистые кончики. Туя Брабант сохраняет свою окраску и в зимний период, что является редким свойством для туй, большинство из которых приобретают желтоватый оттенок.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Wagneri,  175-200см;2000;Невысокое дерево (реже кустарник) конической или яйцевидной формы. Растет медленно. Взрослое дерево может достигать высоты 3 м. Темно-зеленая с фиолетовым оттенком хвоя к зиме приобретает медный цвет. Весной зеленый цвет восстанавливается. Побеги тонкие вертикальные с поникшими кончиками.;3м;Неприхотлива;Солнце, полутень;зона 4;Небольшой кустарник;0;0
            Туя западная Wagneri,  250-275см;3500;Невысокое дерево (реже кустарник) конической или яйцевидной формы. Растет медленно. Взрослое дерево может достигать высоты 3 м. Темно-зеленая с фиолетовым оттенком хвоя к зиме приобретает медный цвет. Весной зеленый цвет восстанавливается. Побеги тонкие вертикальные с поникшими кончиками.;3м;Неприхотлива;Солнце, полутень;зона 4;Небольшой кустарник;0;0
            Туя западная Danica,  25-30см;1100;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Danica,  30-40см;1800;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Danica,  40-60см;2200;Хвойный вечнозеленый карликовый кустарник плоско-шаровидной формы. Растет очень медленно, максимальной высоты 0,6 м и ширины 1 м достигает примерно в 15-летнем возрасте. Крона очень густая. Хвоя чешуйчатая, плотная, ярко-зеленая. Зимой листва становится слегка бурой. Размножается исключительно черенками.;0,6м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Yellow Ribbon,  175-200см;2000;В 15 лет достигает высоты 2м и 0,8м в диаметре. Характерная особенность сорта – ярко-желтые (почти оранжевые) побеги текущего года, которые делают деревце ярким солнечным акцентом на фоне темно-зеленой и голубоватой листвы других хвойных и лиственных растений. Позже листва становится светло-зеленой, а при подготовке к зиме приобретает бронзовый оттенок.;2м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
            Туя западная Yellow Ribbon,  250-275см;3700;В 15 лет достигает высоты 2м и 0,8м в диаметре. Характерная особенность сорта – ярко-желтые (почти оранжевые) побеги текущего года, которые делают деревце ярким солнечным акцентом на фоне темно-зеленой и голубоватой листвы других хвойных и лиственных растений. Позже листва становится светло-зеленой, а при подготовке к зиме приобретает бронзовый оттенок.;2м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
            Туя западная Закан,  175-200см;1300;Описание отсутствует…;?;Неприхотлива;Солнце;зона 4;?;0;0
            Туя западная Закан,  250-275см;1800;Описание отсутствует…;?;Неприхотлива;Солнце;зона 4;?;0;0
            Туя западная Закан,  275-300см;3500;Описание отсутствует…;?;Неприхотлива;Солнце;зона 4;?;0;0
            Туя западная Kobold,  30-40см;1500;Небольшой многоствольный хвойный кустарник, в молодости форма кроны аккуратная шарообразная, позже вытянутая, яйцеобразная. Хвоя блестящая, насыщенного зеленого цвета. Крона плотная, не просматриваемая. Зимостойка. Теневынослива. Влажные плодородные суглинки и известьсодержащие почвы. ;0,7м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя западная Kobold,  40-60см;2100;Небольшой многоствольный хвойный кустарник, в молодости форма кроны аккуратная шарообразная, позже вытянутая, яйцеобразная. Хвоя блестящая, насыщенного зеленого цвета. Крона плотная, не просматриваемая. Зимостойка. Теневынослива. Влажные плодородные суглинки и известьсодержащие почвы. ;0,7м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя западная Kobold,  60-80см;3500;Небольшой многоствольный хвойный кустарник, в молодости форма кроны аккуратная шарообразная, позже вытянутая, яйцеобразная. Хвоя блестящая, насыщенного зеленого цвета. Крона плотная, не просматриваемая. Зимостойка. Теневынослива. Влажные плодородные суглинки и известьсодержащие почвы. ;0,7м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя западная Kobold,  80-100см;4200;Небольшой многоствольный хвойный кустарник, в молодости форма кроны аккуратная шарообразная, позже вытянутая, яйцеобразная. Хвоя блестящая, насыщенного зеленого цвета. Крона плотная, не просматриваемая. Зимостойка. Теневынослива. Влажные плодородные суглинки и известьсодержащие почвы. ;0,7м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Туя западная Columna,  225-250см;10700;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Columna, 125-150см;2100;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Columna, 150-175см;7800;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Columna, 200-225см;5900;Узкий вертикальный колоновидный сорт туи западной, характеризующися сильным ростом. Туя западная Колумна - единственный сорт туи колоновидной, достигающий высоты больше 8 метров. Хвоя чешуйчатая тёмно-зелёная, блестящая, зимой не меняет окраски. В тени окраска темнеет.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Туя западная Little Champion,  125-150см;8950;Вечнозеленый карликовый кустарник шаровидной формы. В 10-летне возрасте размер растения 0,9 м в диаметре. Крона рыхлая, ветви прямые, цвет листвы во время вегетационного периода зеленый, к зиме становится бронзовым или коричневым. ;0,5м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Little Champion ,  60-80см;1600;Вечнозеленый карликовый кустарник шаровидной формы. В 10-летне возрасте размер растения 0,9 м в диаметре. Крона рыхлая, ветви прямые, цвет листвы во время вегетационного периода зеленый, к зиме становится бронзовым или коричневым. ;0,5м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Little Champion,  40-60см;1000;Вечнозеленый карликовый кустарник шаровидной формы. В 10-летне возрасте размер растения 0,9 м в диаметре. Крона рыхлая, ветви прямые, цвет листвы во время вегетационного периода зеленый, к зиме становится бронзовым или коричневым. ;0,5м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Little Champion,  80-100см;3600;Вечнозеленый карликовый кустарник шаровидной формы. В 10-летне возрасте размер растения 0,9 м в диаметре. Крона рыхлая, ветви прямые, цвет листвы во время вегетационного периода зеленый, к зиме становится бронзовым или коричневым. ;0,5м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Туя западная Rheingold ,  70-80см;1300;Карликовая форма. Отличается ширококонической или яйцевидной кроной, медленным (около 10 см в год) ростом, ярко-желтой (зимой бронзово-коричневой) окраской листвы. В возрасте 10 лет растение достигает примерно 1 м в высоту, а максимальная его высота – 3 м. Тонкие мягкие ветви покрыты игольчатыми листьями, которые с возрастом становятся чешуйчатыми.;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Туя западная Rheingold ,  80-100см;1700;Карликовая форма. Отличается ширококонической или яйцевидной кроной, медленным (около 10 см в год) ростом, ярко-желтой (зимой бронзово-коричневой) окраской листвы. В возрасте 10 лет растение достигает примерно 1 м в высоту, а максимальная его высота – 3 м. Тонкие мягкие ветви покрыты игольчатыми листьями, которые с возрастом становятся чешуйчатыми.;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Туя западная Recurva nana ,  30-40см;1900;"Выступающие из кроны ажурные веточки обрамляют весь куст, делая ее очень привлекательной. Высота и диаметр кроны до 2 м. Крона округлая, рыхлая, с равномерно выступающими из кроны веточками. Хвоя чешуйчатая, темно-зеленая на концах светло-зеленая. Медленнорастущая.
";2м;Влажная, плодородная;Солнце, полутень;зона 4;Небольшой кустарник;0;0
            Туя западная Recurva nana ,  70-80см;2700;"Выступающие из кроны ажурные веточки обрамляют весь куст, делая ее очень привлекательной. Высота и диаметр кроны до 2 м. Крона округлая, рыхлая, с равномерно выступающими из кроны веточками. Хвоя чешуйчатая, темно-зеленая на концах светло-зеленая. Медленнорастущая.
";2м;Влажная, плодородная;Солнце, полутень;зона 4;Небольшой кустарник;0;0
            Туя западная Smaragd ,  125-150см;1600;В высоту 7-10 метров. Форма кроны растения пирамидальная. Корневая система разветвленная, мочковатая. Шишки редкие продолговато-яйцевидные, длиной около 1 см, коричневые. Хвоя чешуйчатая, ярко-зеленая, блестящая, зимой не тускнеет. Рост умеренный. Годовой прирост составляет 10 см в высоту и 5 см в ширину.;10м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
